,Title,Text,,
251,Effie Gray review – Emma Thompson’s entertaining take on a doomed Victorian marriage,"One of John Ruskin’s many achievements was single-handedly creating a modern academic industry with the ambiguous way he described his unconsummated marriage to his young Scottish bride Euphemia “Effie” Gray. In the course of legal correspondence connected to their divorce, the great Victorian critic claimed there were “circumstances in her person” which disgusted him. Did that mean her pubic hair? Was he just reacting hysterically to her general nakedness? Was she eating chips in bed? Either way, Ruskin launched a million PhDs on Victorian sexuality, and now Emma Thompson has written an unexpectedly entertaining movie about this marital disaster and Gray’s subsequent romance with the painter John Everett Millais. It’s a little hammy and soapy, with an occasional Pythonesque sense of its own importance but this film, directed by Richard Laxton, is performed with gusto. As Effie herself, Dakota Fanning carries off the role competently, though with the American actor’s habit of playing British accents too slowly. Greg Wise does a good villainous turn as the obnoxious Ruskin: an obtuse and petulant Casaubon creep with a possible abuser’s taste for the green and unripe flesh. Julie Walters steals every scene as Ruskin’s overbearing mother, who turns Effie’s early married life into a grisly Rebecca nightmare. Effie Gray is re-released on 19 April on digital platforms.",Effie Gray,FILM
252,I Blame Society review – film-maker turns serial killer in uneven black comedy,"Here’s a self-conscious black comedy from LA film-maker Gillian Wallace Horvat which is precariously balanced on the funny/annoying fulcrum. As Mickey Rooney might have said to Judy Garland: “Let’s make the quirky low-budget film about the ordeal of making quirky low-budget films right here!” Horvat plays a droll version of herself, also called Gillian; her politically contentious script about Israel fails to get funding so she falls back on an idea she’s had on the backburner for a while: a film about how great she’d be as a serial killer. Gillian feels that the manipulative and predatory talents she has as a director are the perfect murderer skillset. Or is it that the nightmare of film-making fills her with murderous rage, along with the resentful rage she already feels towards a certain young woman she nicknames “Stalin”? Heaven knows, her career is at an impasse. Gillian’s manager isn’t interested in her, and she is forced to take meetings with obnoxious film bros who call her work “Weird Frances Ha”. (Not entirely inaccurate, incidentally.) So using hidden cameras, and developing an unlikely talent for burglary, Gillian shoots a snuff-horror odyssey on spec in which she stars as a real-life killer. And sometimes this film is genuinely quite funny – especially when Gillian fastidiously breaks into someone’s apartment and effectively dresses the set to be a movie crime scene. She also picks up a homeless person and asks him if he’s ever been on a film set before. “I thought you might be a former child star or something.” At first meandering, the film does have a kind of sociopath narrative arc as Gillian becomes more adept and confident at killing, although the no-budget aesthetic gets it into difficulties – there appears to be a continuity issue when two different characters wear the exact same T-shirt. Despite the title, Gillian doesn’t blame society. Unapologetic from first to last, she clearly doesn’t think “blame” is relevant. • I Blame Society is released on 19 April on digital platforms.",I Blame Society,FILM
253,Auggie review – watchable hi-tech satire doesn’t quite know what to say,"The face of American character actor Richard Kind – melancholy, hangdog, a little dyspeptic – is exactly right for this high-concept midlife satire from director and co-writer Matt Kane. It’s a variation on a familiar theme the time is the near future and Kind plays Felix, an architect in his 60s who has been pushed out of the firm he helped build and is now at home grumpily adjusting to unwanted retirement. His busy wife and grownup daughter have no great need of him these days so poor, emasculated Felix takes comfort in his hi-tech retirement gift: a pair of “Auggie” glasses, through which the wearer can see an “augmented reality companion”, a virtual-reality hologram of exactly the kind of submissively understanding person your subconscious wants to see – in Felix’s case, an extremely attractive young woman (played by newcomer Christen Harper). Felix understands that this is just a projection, a geisha hallucination programmed to respond with the right answers and expressions. But inevitably he begins to fall in love with her, and toys with the “extra” that Auggie owners are invited to purchase: a pair of hi-tech underpants that will allow him to feel his Auggie companion intimately, while his wife is out all day at her prestigious job. This is a movie comparable to Spike Jonze’s Her, in which Joaquin Phoenix falls in love with the Siri-type computer voice played by Scarlett Johansson, and Alex Garland’s Ex Machina, in which Domhnall Gleeson is entranced by the AI robot played by Alicia Vikander; and like those films it creates a dreamy mood of indulgent comedy. Auggie is squeamish about straying into out-and-out nightmare or complete black-comic absurdity, and in fact it isn’t as interesting as Michael Almereyda’s Marjorie Prime with Jon Hamm as the VR hologram of an elderly woman’s late husband, recreated in his younger years. Maybe inevitably, this movie doesn’t quite know where to go after the initial premise, but Kind is watchable as the self-pitying and pathetic Felix. • Auggie is released on 19 April on digital platforms.",Auggie,FILM
254,Henry Glassie: Field Work review – hypnotic glimpses of folk art in the making,"There’s an unmistakable slow-cinema vibe to this scrupulously observational documentary, which seems somehow to go on for weeks despite its 100-minute running time. The ostensible subject matter is American anthropologist Henry Glassie, who is college professor emeritus in folklore and ethnomusicology at Indiana University; but it isn’t really “about” him in any conventional sense. Instead, the documentary, directed by Irish film-maker Pat Collins, invites us to experience Glassie’s methods for ourselves, in extended sequences in which it simply watches artists at work, seemingly in real time as they sculpt religious icons, build giant coil pots, weave carpets. The accent is very much on “folk” creators – people with little formal art education, rooted in a community, and whose work is (largely) to serve a function, rather than purely aesthetic. Well, it’s fascinating and hypnotic to watch, and for most of the film Glassie, with his luxuriant Mark Twain moustache, is glimpsed only briefly, sitting in the corner of the frame, taking notes, or snapping the odd picture, or, like us, simply watching. The film follows in his decades-old tracks, starting off with Brazilian metal workers and woodcarvers, visits an Anatolian village that makes traditional rugs, and ends up in County Fermanagh where, in the 70s, Glassie recorded the history and music of this border community. The film also stops off in Glassie’s original stomping ground in Appalachia, but it’s a little hard to equate the current inhabitants – slickly professional ceramicists occupying top-of-the-range wooden shed workshops – with the down-at-heel creatives elsewhere. Glassie does, eventually, outline what motivates him, and his love for both witnessing the creative process and mapping the communities where it takes place is evident in what he himself describes as his “terrible sincerity”. “I don’t study people,” he says. “I stand with people and study the things they create.” His watchwords, he adds, are “reverence and patience” – both qualities, I suspect, that you will need to get the most out of this brave, unusual film. • Henry Glassie: Field Work is released on 16 April on digital platforms.",Henry Glassie: Field Work,FILM
255,Veins of the World review – arresting portrait of nomadic life,"Veins of the World sees Mongolian director Byambasuren Davaa, whose debut, The Story of the Weeping Camel, earned an Oscar nomination for best documentary, again turn her evocative, naturalistic lens on to the lives of nomadic tribes in her home country. It’s something of a pity that, having made its festival rounds, the film gets its release during the pandemic, as its arresting, expansive portraiture of Mongolian rural landscapes would have made an indelible impact on the big screen. Right from the beginning, an alluringly green vista takes over the frame; the potency of the land is breathtaking. Nevertheless, amid this poetic lushness, barren patches slowly appear. Not only the fertile soil but also a traditional way of life is in danger of being eaten away. Shattering changes are seen through the eyes of 11-year-old Amra (Bat-Ireedui Batmunkh), who is especially close to his mechanic father, Erdene (Yalalt Namsrai); Erdene leads his fellow nomads in their resistance against the encroachments of mining companies. Unfortunately, tragedy strikes and Amra’s childlike innocence hardens into a resolute determination as he becomes a one-boy-army against the destructive forces of modern commerce. With a location as awe-inspiring as the Gobi desert, there’s always a danger that the setting will overshadow the drama, but Batmunkh’s committed performance is an emotional anchor that keeps the film clear of maudlin abstraction. Though dealing with overexploitation on a giant scale – these mining operations have even emptied rivers – Veins of the World is more interested in documenting the rituals of nomadic life. Amra visits the holy shaman tree, which bears witness not only to the child’s familial trauma but also to the damage being wreaked daily on his ancestral land; this tenderness renders the desecration of the environment even more heartless and shocking. Though perhaps naive in its understanding of systematic exploitation, Veins of the World is intimate and sweeping all at once, and has at its core a sincerity that invites genuine empathy. •Veins of the World is available on 13 April on YourScreen.",Veins of the World,FILM
256,Belarus culture workers need our support after detention of Tatsiana Hatsura-Yavorskaya | Mark Cousins,"The arrest in Belarus of the director of Minsk’s Watch Docs festival of nonfiction cinema is a reminder of how much culture workers matter in authoritarian states and at times of information deficit. On 5 April Tatsiana Hatsura-Yavorskaya’s home was searched by security forces, phones and computers were confiscated, and she was arrested. The ostensible reason was that she had co-organised (with Natalia Trenina and Yulya Semenchenko, who were also arrested but since released) an exhibition called The Machine Is Breathing, I Am Not about Belarus health professionals at the time of Covid-19. Following the arrests the online exhibition closed. On 8 April, a court fined Hatsura-Yavorskaya 700 Belarusian rubles for “protesting against police”. Another criminal case is now being prepared, accusing her of “raising money for protests”. In 2019, Hatsura-Yavorskaya visited the Belfast film festival at the invitation of Irish writer Laurence McKeown. The result was an exchange of films between Belarus, Britain and Ireland. As chair of the Belfast film festival and its sister organisation Docs Ireland, I went to Hatsura-Yavorskaya’s Watch Docs festival, and wrote about it for the Guardian. I was deeply impressed by how Tatsiana, a humanitarian activist and mother of four, steered her festival through the storm of KGB intervention, censorship and outright banning of films. Audiences were large and hungry for stories and perspectives outwith those of the state media. We at the Belfast film festival and Docs Ireland call on the authorities in Belarus to release Hatsura-Yavorskaya. And we ask other documentary film festivals, film workers and humanitarians to do the same. Tag @BelfastFilmFes1 on Twitter and we will retweet to the relevant authorities. Nonfiction cinema is our lingua franca. Those who speak it to governments should be defended.",Belarus culture workers,OTHERS
257,When Jeff Tried to Save the World review – slacker movie is an underachiever,"Straight out of film school, aged 22, while her peers were off interning, Kendall Goldberg directed her feature debut, this offbeat, earnest movie about a quarter-life crisis (released in the US in 2018). That’s an undeniably impressive achievement, and the film has some interesting ideas about overparenting and how grown-up kids can buckle under the pressure of Mum and Dad’s expectations. But otherwise it feels a bit generic – shuffling the pack of quirky indie movie cliches, not quite funny enough to be a comedy but with too little authentic emotion to work as drama. Jon Heder plays Jeff, the manager of Winky’s World, a bowling alley so poorly maintained that it’s acquired a kind of retro-chic. Jeff is an underachiever, a computer science graduate who takes medication for depression and anxiety. (Heder’s performance is a bit flat – like he sees depression as a giant vacuum cleaner that has sucked away Jeff’s personality.) The job at Winky’s suits Jeff; he likes the routine, it makes him feel safe. But the owner is threatening to sell, so Jeff decides to turn the business into a going concern, with free pizza and live music. This stuff is only ever mildly entertaining, though there’s a funny scene where he persuades the maintenance guy (Steve Berg doing a Zach Galifianakis) to trash-talk Winky’s to potential buyers. The more interesting scenes involve Jeff’s relationship with his prickly sister, trainee doctor Lindy (Anna Konkle) who shows up to crash on his floor with a friend. It turns out that everyone in his family believes that Jeff is a high-flying computer programmer. The suggestion, not fully explored, is that his self-esteem has been crushed by his demanding parents, who seem to have labelled him “the clever one” when the kids were small. His sister confesses to competing with him for their attention: “I had to get into med school to prove that I existed.” It’s a genuinely moving scene in a film where the actors often look like they’re mimicking real feelings. • When Jeff Tried to Save the World is available on Sky on 13 April.",When Jeff Tried to Save the World,FILM
258,Oscars in talks to use BFI Southbank for Academy Awards show,"The Academy of Motion Picture Arts and Sciences (Ampas) is in talks with the British Film Institute (BFI) to use the latter’s cinema complex, BFI Southbank, as part of the forthcoming Oscars ceremony, according to a report in Variety. Citing “multiple sources”, Variety says that Ampas is looking to use BFI Southbank, in London’s Waterloo, as one of the international “hubs” for its awards show, which is due to take place on Sunday 25 April in Los Angeles. Ampas was forced to change tack from its original plans for a “no Zoom” show after complaints that non-US based nominees would not be able to attend due to Covid regulations, and instead decided to set up a series of overseas event locations to allow participation for those unable to travel. France will have a “hub” at a studio in Paris. If the London event goes ahead, it is likely to take place in the early hours of Monday 26 April, due to the time difference, and controls will be in place to ensure Covid compliance. These will include negative Covid tests, quarantine for non-UK participants, and a restriction on guest numbers. UK-based nominees include actors Carey Mulligan, Daniel Kaluuya and Anthony Hopkins, and director Emerald Fennell. However, government regulations state that “attendees converging on and congregating in a site for a specific discrete performance or activity” are still banned, so any large scale indoor event may require special permission.",Oscars ceremony,OTHERS
259,Portal review – close encounters of the disappointing kind,"Here’s a close encounter of the disappointing kind, an anthology movie featuring a trio of sci-fi shorts from the crew behind the V/H/S horror films. Released in the US as Doors but renamed Portal for the UK, the three films together tell an alien-contact story set on Earth after a million portals open up – giant doors that look like they’re covered with shimmery iron-filings from school science experiments. Whatever planet they hail from, the portals do not appear to come in peace; half the world’s population vanish into them. The best of the shorts is number three, titled Lamaj, which stars TV on the Radio’s Kyp Malone as Jamal, a gentle and thoughtful scientist with a lustrous beard who lives alone in a cabin in the woods. Like Amy Adams’s linguist character in Arrival, Jamal communicates with the portals, and invites another scientist – his ex – over to share the moment. They stand there, eyes shining, faces radiant with the pure pleasure of scientific discovery. Then the cops turn up. The second segment, Knockers by Saman Kesh, is the flimsiest. It’s set weeks after the portals’ appearance, when teams of young gung-ho volunteers are being sent into the portals for research. They have 12 minutes inside to gather data; stay any longer and they risk getting “doors psychosis”. It’s a nonsensical film shot with Michel Gondry-style visual trickery, following two volunteers, a young couple (played by Lina Esco and Josh Peck), having a bad trip in a portal. The opener depicts the arrival, that apocalyptic moment when everyone realises Something is Wrong. It’s filmed from the point of view of a bunch of kids in detention – seriously freaked out when birds start slamming against the window, military helicopters buzzing overhead. The three pieces of the science-fiction puzzle fit together to make a bland, incurious picture with little awe at the universe. • Portal is released on 19 April on digital platforms",Portal,FILM
260,The Reckoning review – witch movie descends into misogynistic torture ordeal,"Here’s a deeply unpleasant and misogynistic horror about a woman accused of witchcraft, made in the image of Game of Thrones by British film-maker Neil Marshall (who has directed episodes of GoT). It starts off inoffensively, if shonkily. The year is 1665; the setting might be Essex or perhaps Yorkshire – the characters are a mix of blunt northerners and Essex chappies. Charlotte Kirk (co-writer of the script with Marshall) stars as farmer’s wife Grace Haverstock, whose husband hangs himself after being infected with bubonic plague. “I’m sorry for your loss,” says the landlord of the local boozer; the dialogue is a laughable mashup of modern and ye olden medieval. Grace is raw with grief – though it’s hard to tell from Kirk’s one-expression-fits-all wooden performance. (The costume and makeup departments don’t help, styling her like she’s modelling the cover of a Mills &amp; Boon cover, bodice ripe for the ripping, hair teased to a salon flick.) The village squire (Steven Waddington) accuses Grace of witchcraft after she rejects his advances, and calls in infamous witchfinder John Moorcroft (Sean Pertwee), a predictably pious hypocrite who arrives with a sinister cloaked female servant, Ursula (Suzanne Magowan), at his side. Up until this point, The Reckoning is merely ropey. Then Grace is strapped into a torture device and has a muzzle-like metal mask put over her face (presumably so that the audience can gawp at her being tortured without having to deal with seeing her agony). The witchfinder orders Ursula to turn Grace into a pincushion with tiny daggers. On day four, still not confessing, she is raped with an instrument that looks like a smear-test speculum but splays open to inflict grievous internal injuries. Late on in the third act, Grace gets her revenge – though how she can rampage around slaying after being tortured for days is never explained. The film left me shaking with anger more than fear. • The Reckoning is released on 16 April on digital platforms.",The Reckoning,FILM
261,Steelers review – doc tackles queer rugby’s small moments and big struggles,"There’s overwhelming precedent in film for the separation of LGBTQ stories and those told within the world of sport – two often diametrically opposed parts of life with very little crossover. What crossover there is has often been reductive or bleak, either poking fun or revealing a dark underbelly of intolerance and players forced to remain in the closet. It makes the prospect of optimistic documentary Steelers: The World’s First Gay and Inclusive Rugby Club much more welcome – and a way to modernise a musty narrative. Steelers is a modest film, both in production values and scope, in ways that sometimes work and sometimes don’t: the affecting small moments are often in need of a bigger picture to make them soar. It’s made by one of the London-based club’s former players, Australian reporter Eammon Ashton-Atkinson, who is narrator, director, writer and editor, telling the story of three queer people involved with the team as they compete against other gay clubs in the Bingham Cup. He teases out some moving testimonies and provides a stinging reminder for many straight viewers that coming out isn’t always the happy ending many think it is, and there are still wounds that need to heal over. But the structure is disjointed, flipping around without confidence, from scrappily shot one-on-ones with players to mostly B-roll footage taken at the Bingham Cup. The gameplay scenes aren’t quite immersive enough and the film is missing historical context: how this team – and gay rugby – went from a punchline to an industry. The limited focus leaves Steelers seeming more like promotional material for the club than standalone documentary. It’s clearly made on a shoestring budget and, while well-intentioned, it’s a little too half-baked to land. Best met with a polite clap rather than a hearty cheer. • Steelers is released on 16 April on Amazon Prime Video.",Steelers,FILM
262,Into the Labyrinth review – Dustin Hoffman psycho-thriller goes down a rabbit hole,"A face-off between Hollywood legend Dustin Hoffman and Toni Servillo, that veteran of contemporary Italian classics by Paolo Sorrentino? Sounds good. But sadly, the two never appear together in the same scene, and the film they appear in is frustratingly underpowered and derivative. Into the Labyrinth is a psychological horror-thriller directed by Donato Carrisi and adapted by him from his own bestselling novel L’uomo del labirinto. The setting is Italy, and a distraught young woman (Valentina Bellè) comes round from sedation in a private hospital room where a calm and mysterious doctor called Green (Hoffman) explains that she had been found, dumped unconscious by the side of the road, apparently by the sinister individual who kidnapped her as a teenager 15 years earlier – a sensational unsolved “cold case”. As a forensic profiler working with the police, he will now ask questions to reconstruct her terrifying existence in the prison which her abductor called the “labyrinth”. At which point the audience is entitled to ask: erm, why are they speaking in English, when all the rest of dialogue is in Italian? Did she learn English in captivity? Meanwhile, a bleary private detective called Bruno Genko (played by Servillo), specialising in banal cases of debt recovery, hears about this young woman’s safe return and finds that it is now his own mysterious destiny to track down her kidnapper who apparently likes to wear a huge rabbit mask – as in the film Donnie Darko. There is some incidental interest in the bizarre comic-book settings and locations and indeed the weird comic book called “Bunny” which appears to have inspired the crazed villain himself. But the narrative focus is damagingly and pointlessly split between Servillo and Hoffman, two actors whose considerable screen presences tend to subtract from each other. And the cheat-twist ending is basically all too familiar. • Into the Labyrinth is released on 19 April on digital platforms.",Into the Labyrinth,FILM
263,Happy Happy Joy Joy: The Ren and Stimpy Story review – disturbing scenes,"Here is a documentary whose title contains radioactive levels of irony: happiness and joy are very far from what is to be found within. It is a behind-the-scenes profile of the pioneering TV animation Ren and Stimpy, which for those not around in the early 90s, featured an angry chihuahua (Ren) and a dopey, good-natured cat (Stimpy); with its hyper-stylised visuals, bad-taste humour and eye-watering violence, it found a cult status as a mould-breaking kidult show – very much at the adult end of the scale. The film is built around a profile of John Kricfalusi, Ren and Stimpy’s creator and mastermind; presumably it started out as a warts-and-all account of Kricfalusi’s eccentric (to say the least) management style, which culminated in his firing by Nickelodeon in 1992, shortly after the show’s second season began. However, whatever intentions directors Ron Cicero and Kimo Easterwood may have had were upended by the emergence of even more serious accusations: claims of grooming and underage sex, for which he subsequently apologised. Faced with scrapping everything and starting again, Cicero and Easterwood have folded the material into the litany of alleged abusive behaviour in his studio: initially tolerated as mad-genius enthusiasm but evolving into nasty control-freakery. Kricfalusi is interviewed at length (he apparently agreed only after his victims went to the media), as is Robin Byrd, one of his principal accusers. The result makes for an unbalanced final film; even if Kricfalusi emerges as a thoroughly unpleasant, if damaged, character, giving him the room to apologise (again) for sexual abuse has the effect of suggesting that somehow that’s the end of it, and even that it was the result of aberrations triggered by workplace stress. Happy Happy Joy Joy is a dismal coda to a fondly remembered show, with Kricfalusi’s collaborators still distressed over what happened. As one of his co-workers put it: “No one else worked harder to fuck it up than this guy.” • Happy Happy Joy Joy: The Ren and Stimpy Story is available on 16 April on True Story.",Happy Happy Joy Joy: The Ren and Stimpy Story,FILM
264,Ride or Die review – bloody revenge and blossoming love in shocking Japanese thriller,"The prolific director Ryūichi Hiroki has carved out a niche in modern Japanese cinema with his willingness to delve into the darker sides of sexuality. Following a start in the softcore “pink” films, He has moved to the mainstream while exploring subjects such as sadomasochism. Ride or Die, a live-action adaptation of Ching Nakamura’s arresting but disquieting manga series Gunjō, fits perfectly in the director’s transgressive wheelhouse. The moods of Ride or Die alternate between neon-lit cityscapes and sun-drenched open roads. The opening is shockingly baptised in blood: Rei (Kiko Mizuhara), a twentysomething lesbian, has slashed a man to death in his own home. It is later revealed that her victim is the abusive husband of Nanae (Honami Sato), a high-school classmate for whom Rei has held a torch for a decade. In perhaps the most destructive possible declaration of love, Rei has killed for Nanae, and together they embark on a getaway that doubles as a journey to their past. The bloodshed carries a poetic power: the life of a (bad) man is taken, only for the two women to see themselves reborn. Ride or Die is well-made and engrossing, despite its occasionally meandering pace. Texas-born Mizuhara, currently Japan’s most celebrated It girl, is hugely charismatic on screen. It is a pity that the film has damped down the pitch-black humour and sense of apathy found in its source material; the two women are designed to be much more obviously likable, their rough edges softened and the toxicity in their relationship diluted. The conspicuous use of easy listening tunes on the soundtrack doesn’t help, either. In the end though, Ride or Die boasts strong performances, and its beautiful cinematography takes viewers from metropolitan restlessness to the liberating seaside. • Ride or Die is available on Netflix.",Ride or Die,FILM
265,Ip Man: Kung Fu Master review – stylish martial arts potboiler,"For those not up to date with the martial arts film canon, Ip Man was a real historical figure: a master of Wing Chun, a type of southern Chinese kung fu, who until relatively recently was best known for having trained the great Bruce Lee. The real Ip died just before Lee in 1972, but his colourful life has since served as a basis for a series of films that have taken varying amounts of liberty with the facts, starting with the Donnie Yen vehicle Ip Man from 2008. In these films, Ip is more than just a historical figure: he’s a legendary character, a fighter for justice against rogue criminals and sinister foreigners, especially in the films that focus on his years as a policeman in Foshan after the second world war, before the communists came to power and Ip and his family left for Hong Kong. Conversely, in Wong Kar-Wai’s The Grandmaster, Ip serves as a vehicle for a languorous contemplation of martial arts philosophy. Scads more have followed of varying quality, and this latest one features Dennis To, playing the character for the third time, in the Foshan policeman stage of the story. To be honest, To is a less engaging performer than Yen, but his moves are nifty and director Li Liming films the fight scenes – which really make up most of the movie – with plenty of style. Li is very keen on crosscutting between quiet and noisy interactions during the fights; in the opening battle, for instance, between Ip and dozens of axe-wielding gangsters, his superior officer (Michael Wong) plays chess upstairs against a foe with the moves in both forms of combat paralleling each other. There’s some ace drunken-style fighting later, and inventive use of props, but the film takes itself a bit too seriously and reshuffles the deck of plot tropes instead of inventing its own ideas. Ultimately, it feels about as meaningful as a pop video, but if you enjoy martial arts films the way others like, say, dance films, it’s pleasant viewing. Ip Man: Kung Fu Master is released on 19 April on digital platforms.",Ip Man: Kung Fu Master,FILM
266,Valley of Souls review –  quietly devastating Colombian drama,"“I thank those who have agreed to revisit these dark times,” reads the title card that closes this drama about a fisherman’s harrowing journey to retrieve the bodies of his two sons. Set in 2002, in the middle of the United Self-Defence Forces of Colombia’s (AUC’s) reign of terror, the film sees José (José Arley de Jesús Carvallido Lobo) drift downriver in his solitary canoe, scouring the debris that has washed up on the beach in search of clues. He knows it is forbidden to remove bodies from their unmarked grave – the otherwise gorgeous Magdalena river. José’s personal quest mirrors the political project of the Belgian-Colombian writer and director Nicolás Rincón Gille; both seek to preserve those who have disappeared under the AUC’s regime. It’s a devastating film, but doesn’t revel in the story’s inherent grimness. In one terrifying, tragicomic scene, José is brought face to face with a paramilitary chief who is obsessed with the Tour de France. Happily, his knowledge of this shared cultural reference ends up saving his life. Gille, who has a background in documentary film-making, pays particular attention to the natural beauty of the Bolívar region, choosing to foreground José’s stoicism instead of the way his life has been ravaged by violence. Lobo, too, is radiant, a pillar of strength holding steady amid a storm of grief. On Mubi",Valley of Souls,FILM
267,Cranston Academy: Monster Zone review – colourful if derivative Hogwartsian animation,"The two nominal main characters of this derivative but reasonably amusing computer-animated feature are a pair of teenage kids attending an elite Hogwartsian science school called Cranston Academy in London; the location signified by the fact it rains all the time and the teachers drink tea. Awkward American Danny (voiced, puzzlingly, by British actor Jamie Bell), who prefers to work solo, is forcibly teamed up with prissy but whipsmart Liz from Australia (Ruby Rose). Together, they get the school’s nuclear reactor working, but it opens up a portal to another dimension. This Promethean class project unleashes all manner of monsters, many of whom recall the creatures in Pixar’s Monsters, Inc. but with less affable personalities. The production, directed by Leopoldo Aguilar, emanates from Mexican cartoon studio Anima Estudios, which is interesting because only a tiny amount of animation comes out of the third country in North America, compared with the US and Canada. That also explains why, out of an already culturally eclectic cast of characters, a Mexican scientist is assigned the key role of semi-magical helper character. Known only as Mothman (voiced by Idzi Dutkiewicz) – he’s half-human, half-moth – he speaks the human language with a heavy Spanish accent and also sports wings and has a overwhelming urge to whisper sweet nothings to every lamp and torch he meets, like a lumophilic insectoid Pepé Le Pew. His heritage also allows for one of the funnier gags wherein Mothman, Danny and Liz go to a British “Mexican” restaurant and Mothman is utterly horrified by the atrocities described as “tacos” on the menu. The palette of hot, supersaturated colours is toned down by the use of more subdued tones for the night scenes, and while the character animation is not especially winning, neither is it annoying like too many other cartoon features these days. • Cranston Academy: Monster Zone is available on 19 April on Sky Cinema.",Cranston Academy: Monster Zone,FILM
268,Clapboard Jungle review – confessions of an indie horror film director,"Justin McConnell is a Canadian indie director who has here created what amounts to a tiring and self-indulgent video diary of the last five years as he tries to get his passion project made (a fantasy horror called Lifechanger). It is interspersed with what feels like hundreds of thousands of interviews with beaming film people, some very famous (such as Paul Schrader and Guillermo Del Toro), some not so famous, but all giving us their well-meant platitudes about getting your films made by following your dream and realising that it’s all about storytelling. Clapboard Jungle suffers from a weird mix of information overload and a lack of actual, usable information that might be of assistance to film-makers or of interest to film audiences. To an extraordinary degree, this film is packed with endless selfie shots of McConnell’s face as – zonked with stress or anxiety or disappointment – he trudges through airport department lounges on his way to festivals, placidly listens to music on a bus, or takes calls from producers and distributors passing on his project. This isn’t to say that there aren’t some nuggets of information here about the nightmare of independent film production: the money people won’t commit the cash until the talent are definitely on board and the talent won’t sign up until the money is definitely there. So something has to give and someone has to be lied to. At one stage, an actor who’s worked with McConnell gently reproves him about exaggerating the extent and solidity of the funding while the film was in development. But that is the business. As ever, people complain about the deluge of “content” which is sloshing over us all nowadays. Advances in digital technology have made it easier and cheaper to make films, but it hasn’t increased film-making talent or increased the number of people willing to watch the finished product. There is some good sense from Troma’s Lloyd Kaufman: “Nobody complained when there were thousands of paintings and drawings and comic book illustrations – why should anyone complain about too many movies?” • Clapboard Jungle is available on 19 April.",Clapboard Jungle,FILM
269,True Mothers review – tender Japanese adoption drama,"The Japanese film-maker Naomi Kawase adapts Mizuki Tsujimura’s 2015 novel in this tender, compassionate drama about the complexities of motherhood. Satoko (Hiromi Nagasaku), the adoptive mother of six-year-old Asato (Reo Sato), is thrown into crisis when a young woman claiming to be her son’s biological mother attempts to blackmail her. The film mostly plays out in flashback, giving context to each mother’s “truth”, and equal weight to both women’s sacrifices. “Baby Baton”, the charity that connects the two, requires Satoko to quit her job and pledge to become a full-time parent, while 14-year-old Hikari (Aju Makita) is told to legally agree to permanently sever all ties with her newborn son. Kawase’s frequent use of handheld camera gives parts of the film a quasi-documentary feel, but it’s the lyrical touches, such as a beam of blinding sunlight that falls on Satoko and her husband after signing the adoption papers, and an oceanic soundscape that recurs throughout, that hit the hardest. On Curzon Home Cinema",True Mothers,FILM
270,Groundswell review – the fight against fracking in Ireland,"In 2010, the American film-maker Josh Fox released something that in retrospect looks like one of the most influential and original documentaries of recent times: GasLand. It was about something new to many at the time: fracking, or hydraulic fracturing, under the earth to release natural gas from shale rock, at the risk of polluting the water table and turning areas of natural beauty into sludge dumps – and that is aside from the existing larger implications of gas consumption. The film alerted many to a new environmental menace, and it plays its historic role in this new film from Johnny Gogan about the anti-fracking campaign in Ireland, often by people who were energised by seeing GasLand and determined to resist what one campaigner calls the new way of “scraping the bottom of the fossil-fuel barrel”. Exactly so. The coronavirus pandemic has, understandably, diverted many people’s attention from the climate crisis. But there is no vaccination for climate change. Groundswell shows how the fracking industry has been developing its interests in Ireland for many years, especially in North Leitrim, the corporations clearly calculating that it is unlikely to muster much protest because it is so sparsely populated. But communities did come together, with artists and writers joining the movement, and the Irish campaigners have been able to make international common cause with their equivalents in the United States, and draw on their knowledge. Ireland made history by banning not just fracking but also by importing fracked gas, and the fracking corporations are now pursuing their business over the border in Northern Ireland. A lesson to communities and campaigners there and everywhere else to stay vigilant. • Groundswell is released on 16 April on digital platforms.",Groundswell,FILM
